,建案名稱,地址
0,30創富,臺北市萬華區康定路84號
1,55TIMELESS,臺北市信義區信義路五段57號
2,BR4,臺北市大安區復興南路一段175號
3,ForestPark吉美富徠,臺北市大安區瑞安街155巷號
4,H24雲端,臺北市北投區中央南路二段14號
5,JR羅斯福,臺北市文山區興隆段三小段511地號
6,LIVINGMORE,臺北市中山區中山北路二段59巷B01號
7,LivingMore,臺北市中山區中山北路二段59巷C09號
8,MAGNOLIA木蘭居B座,臺北市北投區天母西路117巷32弄5號
9,MAGNOLIA木蘭居C座,臺北市北投區天母西路117巷32弄(B-04F)號
10,ONE+,臺北市內湖區康寧路三段187號
11,THEGREENHOUSE,臺北市中山區圓山里中山北路三段號
12,TWINLINE,臺北市中山區遼寧街105巷36號
13,Vigorlin東門,臺北市中正區信義路2段79巷32號
14,一心居,臺北市北投區中和里中和街391巷2弄號
15,一方璞真,臺北市松山區敦化北路4巷25弄(A-2F)號
16,一樹巷,臺北市北投區中和里大屯路7巷C戶號
17,一豐洲,臺北市北投區奇岩路209巷旁B1棟5樓號
18,一青。悠,臺北市北投區溫泉路67號
19,一頁城中,臺北市中正區衡陽路69號
20,三創爵鼎,臺北市大安區市民大道三段92號
21,三悉-磊若,臺北市中山區金泰段122、122-1地號
22,三悉-風昀,臺北市中山區金泰段119-2、119-3地號
23,三發景悅,臺北市北投區奇岩路A2/4+5F號
24,三磐舍紫II,臺北市士林區社中街號
25,三豐AIT,臺北市內湖區康寧路一段175巷號
26,三豐長安匯,臺北市大同區市府段二小段0367-0000號
27,三豐雲迪,臺北市大同區大有里歸綏街210號
28,上城若水,臺北市中山區正守里市民大道三段5號
29,世心玉,臺北市中山區長安東路一段24-3號
30,世田安,臺北市中山區松江路45巷號
31,世界明珠,臺北市南港區南港路二段51號
32,世豐是山,臺北市北投區清江里磺港路C-13F號
33,世達懿居,臺北市中正區南昌路二段號
34,中國開發內湖洲子街廠辦大樓案,臺北市內湖區洲子街號
35,中山Q1,臺北市中山區民權東路一段61-1號
36,中山TED,臺北市中山區中山北路二段A3戶6樓號
37,中山世紀,臺北市中山區中山段一小段956地號
38,中山北美,臺北市士林區福志里中山北路五段698巷號
39,中山官邸,臺北市中山區民權東路一段11號
40,中山富寓,臺北市中山區新生北路149巷32號
41,中山富御,臺北市中山區中山北路二段175號
42,中山晶綻,臺北市中山區長安西路42號
43,中山松悅,臺北市中山區長安西路號
44,中山水美,臺北市大同區雙連街8號
45,中山直美,臺北市中山區新生北埔路2段76巷號
46,中山簡美,臺北市中山區林森北路號
